3.34,1000,20,24,67,34,6
4.51,2200,20,55,97,34,8
5.5,2200,40,58,99,34,8
7.35,3300,20,78.9,129,43,7
7.97,5000,20,114,128,42,10
12.05,5000,40,130,146,45,9
